review,rating,date,bank,source,sentiment_label,sentiment_score,numerical_sentiment,identified_themes
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,Bank of Abyssinia Mobile,Google Play Store,negative,0.8337246179580688,-1,Other/Uncategorized
good,1,2025-06-15,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa",1,2025-06-15,Bank of Abyssinia Mobile,Google Play Store,negative,0.9994043111801147,-1,App Stability; Login/Authentication; Transactions; Updates
Good job!,5,2025-06-13,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998481273651124,1,General Positive
best financial app.,5,2025-06-12,Bank of Abyssinia Mobile,Google Play Store,positive,0.9997761845588684,1,General Positive
ቆንጆ ነው በርቱ,5,2025-06-11,Bank of Abyssinia Mobile,Google Play Store,negative,0.8337246179580688,-1,Other/Uncategorized
the worst app humans ever created,1,2025-06-09,Bank of Abyssinia Mobile,Google Play Store,negative,0.9998008608818054,-1,General Negative
it's not working,3,2025-06-05,Bank of Abyssinia Mobile,Google Play Store,negative,0.9997857213020324,-1,App Stability
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia Mobile,Google Play Store,negative,0.999415159225464,-1,App Stability; Login/Authentication; Updates
exceptional,5,2025-06-03,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998514652252196,1,Other/Uncategorized
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia Mobile,Google Play Store,positive,0.9984728693962096,1,General Positive
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia Mobile,Google Play Store,negative,0.993474304676056,-1,Performance
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia Mobile,Google Play Store,negative,0.9971383810043336,-1,Updates
BoA system is confartable,5,2025-06-01,Bank of Abyssinia Mobile,Google Play Store,negative,0.9980142116546632,-1,Other/Uncategorized
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia Mobile,Google Play Store,negative,0.99980491399765,-1,App Stability
Good service.,3,2025-05-25,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998533725738524,1,Customer Service; Features
the app crush frequently,1,2025-05-24,Bank of Abyssinia Mobile,Google Play Store,negative,0.998525083065033,-1,Other/Uncategorized
good,5,2025-05-22,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia Mobile,Google Play Store,negative,0.9997075200080872,-1,General Negative
good,5,2025-05-21,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia Mobile,Google Play Store,negative,0.999026656150818,-1,App Stability; User Interface; Login/Authentication; Transactions; Features; Developer Options
BoA,2,2025-05-20,Bank of Abyssinia Mobile,Google Play Store,negative,0.7410515546798706,-1,Other/Uncategorized
good,5,2025-05-20,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
but not opening on android,4,2025-05-19,Bank of Abyssinia Mobile,Google Play Store,negative,0.9952228665351868,-1,Other/Uncategorized
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia Mobile,Google Play Store,negative,0.9997984766960144,-1,General Negative
amazing,5,2025-05-18,Bank of Abyssinia Mobile,Google Play Store,positive,0.999875545501709,1,General Positive
excellent app,4,2025-05-16,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998356103897096,1,General Positive
excellent,5,2025-05-15,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998434782028198,1,General Positive
ሞላዬ ከበደ,5,2025-05-14,Bank of Abyssinia Mobile,Google Play Store,negative,0.7850582003593445,-1,Other/Uncategorized
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia Mobile,Google Play Store,negative,0.9992283582687378,-1,Other/Uncategorized
nice,5,2025-05-10,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998552799224854,1,General Positive
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia Mobile,Google Play Store,negative,0.9994921684265136,-1,Login/Authentication; Customer Service; Security; Features
Best app,5,2025-05-09,Bank of Abyssinia Mobile,Google Play Store,positive,0.999686598777771,1,General Positive
liking this application good 👍,5,2025-05-07,Bank of Abyssinia Mobile,Google Play Store,positive,0.9996829032897948,1,General Positive
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia Mobile,Google Play Store,negative,0.9989790916442872,-1,App Stability; Login/Authentication; Ease of Use
good,5,2025-05-06,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
good,5,2025-05-02,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
good,4,2025-04-30,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
good,4,2025-04-30,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
wow,5,2025-04-28,Bank of Abyssinia Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
it's really good 👍,5,2025-04-23,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998701810836792,1,General Positive
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia Mobile,Google Play Store,negative,0.9995198249816896,-1,General Negative
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia Mobile,Google Play Store,negative,0.9997255206108092,-1,Performance; Login/Authentication
Best,2,2025-04-19,Bank of Abyssinia Mobile,Google Play Store,positive,0.9997941851615906,1,General Positive
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia Mobile,Google Play Store,negative,0.999669909477234,-1,Performance; Features; Developer Options
yideg,1,2025-04-18,Bank of Abyssinia Mobile,Google Play Store,negative,0.7675836086273193,-1,Other/Uncategorized
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia Mobile,Google Play Store,negative,0.7850582003593445,-1,Other/Uncategorized
great boa,5,2025-04-10,Bank of Abyssinia Mobile,Google Play Store,positive,0.9992689490318298,1,General Positive
Best,5,2025-04-10,Bank of Abyssinia Mobile,Google Play Store,positive,0.9997941851615906,1,General Positive
boa of mobile backing,5,2025-04-09,Bank of Abyssinia Mobile,Google Play Store,negative,0.980626106262207,-1,Other/Uncategorized
nice,5,2025-04-09,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998552799224854,1,General Positive
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia Mobile,Google Play Store,positive,0.9722142815589904,1,Performance
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia Mobile,Google Play Store,negative,0.9996716976165771,-1,App Stability
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia Mobile,Google Play Store,negative,0.999774158000946,-1,App Stability
like,5,2025-04-06,Bank of Abyssinia Mobile,Google Play Store,positive,0.9910564422607422,1,General Positive
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia Mobile,Google Play Store,negative,0.9998013377189636,-1,Updates
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia Mobile,Google Play Store,positive,0.957535445690155,1,Performance; Login/Authentication; Transactions; Language Support
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia Mobile,Google Play Store,negative,0.5856847167015076,-1,Login/Authentication
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia Mobile,Google Play Store,negative,0.969367742538452,-1,Updates
very good,5,2025-04-03,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998520612716676,1,General Positive
thank you,5,2025-04-02,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998352527618408,1,Other/Uncategorized
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia Mobile,Google Play Store,negative,0.9990907907485962,-1,App Stability; Performance
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia Mobile,Google Play Store,negative,0.9973752498626708,-1,Customer Service
good application,5,2025-03-30,Bank of Abyssinia Mobile,Google Play Store,positive,0.999854564666748,1,General Positive
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia Mobile,Google Play Store,negative,0.9995684027671814,-1,App Stability; Transactions; Updates
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia Mobile,Google Play Store,negative,0.9996182918548584,-1,Login/Authentication
always problematic hardly works,1,2025-03-26,Bank of Abyssinia Mobile,Google Play Store,negative,0.99955552816391,-1,Other/Uncategorized
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia Mobile,Google Play Store,negative,0.9997418522834778,-1,General Negative
best app,5,2025-03-25,Bank of Abyssinia Mobile,Google Play Store,positive,0.999686598777771,1,General Positive
very good,5,2025-03-25,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998520612716676,1,General Positive
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia Mobile,Google Play Store,negative,0.9998050332069396,-1,General Negative
great BoA,5,2025-03-22,Bank of Abyssinia Mobile,Google Play Store,positive,0.9992689490318298,1,General Positive
best,5,2025-03-21,Bank of Abyssinia Mobile,Google Play Store,positive,0.9997941851615906,1,General Positive
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia Mobile,Google Play Store,negative,0.9988333582878112,-1,Transactions
good,5,2025-03-21,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
good,5,2025-03-19,Bank of Abyssinia Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
there is no speed,1,2025-03-19,Bank of Abyssinia Mobile,Google Play Store,negative,0.9994422793388368,-1,Performance
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia Mobile,Google Play Store,negative,0.999398112297058,-1,Other/Uncategorized
wonderful,5,2025-03-19,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998772144317628,1,General Positive
all worck,5,2025-03-19,Bank of Abyssinia Mobile,Google Play Store,negative,0.9971314668655396,-1,Other/Uncategorized
Best app,5,2025-03-17,Bank of Abyssinia Mobile,Google Play Store,positive,0.999686598777771,1,General Positive
Loved it,5,2025-03-14,Bank of Abyssinia Mobile,Google Play Store,positive,0.9998797178268432,1,General Positive
Wow,1,2025-03-14,Bank of Abyssinia Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
