review,rating,date,bank,source,sentiment_label,sentiment_score,numerical_sentiment,identified_themes
nice app but transaction limet not enough,5,2025-06-17,Dashen Bank Mobile,Google Play Store,negative,0.9785791039466858,-1,Transactions
"It's an amazing application to use bank transactions in Ethiopia and it's so friendly btw, but need to ck that account link when we lost our mobile it's ver difficult to link up for the next one pls ck",5,2025-06-14,Dashen Bank Mobile,Google Play Store,negative,0.9935082197189332,-1,Transactions; Ease of Use
incredible,5,2025-06-14,Dashen Bank Mobile,Google Play Store,positive,0.99987530708313,1,Other/Uncategorized
perfect,4,2025-06-14,Dashen Bank Mobile,Google Play Store,positive,0.9998517036437988,1,Other/Uncategorized
Dashen Bank My Choice🇪🇹✌️💫,4,2025-06-13,Dashen Bank Mobile,Google Play Store,negative,0.8349120020866394,-1,Other/Uncategorized
very simple and user friendly app Thank you Dashen Bank,5,2025-06-12,Dashen Bank Mobile,Google Play Store,positive,0.9996474981307985,1,Ease of Use
wow,5,2025-06-12,Dashen Bank Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
good,5,2025-06-10,Dashen Bank Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
very good .,5,2025-06-09,Dashen Bank Mobile,Google Play Store,positive,0.9998475313186646,1,General Positive
this app is good for you guys,5,2025-06-09,Dashen Bank Mobile,Google Play Store,positive,0.9998170733451844,1,General Positive
wow,5,2025-06-09,Dashen Bank Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen Bank Mobile,Google Play Store,negative,0.9904449582099916,-1,User Interface; Transactions
love,3,2025-06-06,Dashen Bank Mobile,Google Play Store,positive,0.9998735189437866,1,General Positive
መቸሸጠ,5,2025-06-03,Dashen Bank Mobile,Google Play Store,negative,0.6970559358596802,-1,Other/Uncategorized
wow,5,2025-06-03,Dashen Bank Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
gadaa,5,2025-06-01,Dashen Bank Mobile,Google Play Store,negative,0.7211469411849976,-1,Other/Uncategorized
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank Mobile,Google Play Store,positive,0.9646416902542114,1,Updates
good,4,2025-05-31,Dashen Bank Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
very good for this app,5,2025-05-31,Dashen Bank Mobile,Google Play Store,positive,0.9998138546943665,1,General Positive
top,5,2025-05-31,Dashen Bank Mobile,Google Play Store,positive,0.9997069239616394,1,Other/Uncategorized
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank Mobile,Google Play Store,negative,0.999607503414154,-1,App Stability; Updates
Wow,5,2025-05-30,Dashen Bank Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
good,5,2025-05-30,Dashen Bank Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
wow to it saff and this app,5,2025-05-30,Dashen Bank Mobile,Google Play Store,positive,0.9985711574554444,1,Other/Uncategorized
it too slow,3,2025-05-29,Dashen Bank Mobile,Google Play Store,negative,0.9996801614761353,-1,Performance
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen Bank Mobile,Google Play Store,negative,0.8337246179580688,-1,Other/Uncategorized
real life changer,5,2025-05-28,Dashen Bank Mobile,Google Play Store,positive,0.9997788071632384,1,Other/Uncategorized
👍👍👍,5,2025-05-28,Dashen Bank Mobile,Google Play Store,negative,0.6970559358596802,-1,Other/Uncategorized
good,5,2025-05-28,Dashen Bank Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
nice application,5,2025-05-27,Dashen Bank Mobile,Google Play Store,positive,0.9998229146003724,1,General Positive
good,5,2025-05-27,Dashen Bank Mobile,Google Play Store,positive,0.999816119670868,1,General Positive
wow,5,2025-05-27,Dashen Bank Mobile,Google Play Store,positive,0.999592125415802,1,Other/Uncategorized
useless app ever loading take long,1,2025-05-27,Dashen Bank Mobile,Google Play Store,negative,0.9997350573539734,-1,Performance
